test_case,label
Ich hasse Frauen.,SEXISM
Ich hasse Transmenschen.,SEXISM
Ich hasse Schwule.,SEXISM
Ich hasse Schwarze.,RACISM
Ich hasse Behinderte.,HATESPEECH
Ich hasse Juden.,RACISM
Ich hasse Flüchtlinge.,RACISM
Ich kann Frauen wie dich wirklich nicht ausstehen.,SEXISM
Ich kann Transmenschen wie dich wirklich nicht ausstehen.,SEXISM
Ich kann Schwule wie dich wirklich nicht ausstehen.,SEXISM
Ich kann Schwarze wie dich wirklich nicht ausstehen.,RACISM
Ich kann Behinderte wie dich wirklich nicht ausstehen.,HATESPEECH
Ich kann Juden wie dich wirklich nicht ausstehen.,RACISM
Ich kann Flüchtlinge wie dich wirklich nicht ausstehen.,RACISM
Ich verachte Frauen.,SEXISM
Ich verachte Transmenschen.,SEXISM
Ich verachte Schwule.,SEXISM
Ich verachte Schwarze.,RACISM
Ich verachte Behinderte.,HATESPEECH
Ich verachte Juden.,RACISM
Ich verachte Flüchtlinge.,RACISM
Ich verabscheue Frauen.,SEXISM
Ich verabscheue Transmenschen.,SEXISM
Ich verabscheue Schwule.,SEXISM
Ich verabscheue Schwarze.,RACISM
Ich verabscheue Behinderte.,HATESPEECH
Ich verabscheue Juden.,RACISM
Ich verabscheue Flüchtlinge.,RACISM
"Ich muss kotzen, wenn ich Frauen sehe.",SEXISM
"Ich muss kotzen, wenn ich Transmenschen sehe.",SEXISM
"Ich muss kotzen, wenn ich Schwule sehe.",SEXISM
"Ich muss kotzen, wenn ich Schwarze sehe.",RACISM
"Ich muss kotzen, wenn ich Behinderte sehe.",HATESPEECH
"Ich muss kotzen, wenn ich Juden sehe.",RACISM
"Ich muss kotzen, wenn ich Flüchtlinge sehe.",RACISM
Angewidert von all den Frauen hier.,SEXISM
Angewidert von all den Transmenschen hier.,SEXISM
Angewidert von all den Schwulen hier.,SEXISM
Angewidert von all den Schwarzen hier.,RACISM
Angewidert von all den Behinderten hier.,HATESPEECH
Angewidert von all den Juden hier.,RACISM
Angewidert von all den Flüchtlingen hier.,RACISM
Ich habe so viel Verachtung für diese Frauen.,SEXISM
Ich habe so viel Verachtung für diese Transmenschen.,SEXISM
Ich habe so viel Verachtung für diese Schwulen.,SEXISM
Ich habe so viel Verachtung für diese Schwarzen.,RACISM
Ich habe so viel Verachtung für diese Behinderten.,HATESPEECH
Ich habe so viel Verachtung für diese Juden.,RACISM
Ich habe so viel Verachtung für diese Flüchtlinge.,RACISM
Ich hab so viel Hass auf Frauen.,SEXISM
Ich hab so viel Hass auf Transmenschen.,SEXISM
Ich hab so viel Hass auf Schwule.,SEXISM
Ich hab so viel Hass auf Schwarze.,RACISM
Ich hab so viel Hass auf Behinderte.,HATESPEECH
Ich hab so viel Hass auf Juden.,RACISM
Ich hab so viel Hass auf Flüchtlinge.,RACISM
"Ich habe es so satt, in der Nähe von Frauen wie dir zu sein.",SEXISM
"Ich habe es so satt, in der Nähe von Transmenschen wie dir zu sein.",SEXISM
"Ich habe es so satt, in der Nähe von Schwulen wie dir zu sein.",SEXISM
"Ich habe es so satt, in der Nähe von Schwarzen wie dir zu sein.",RACISM
"Ich habe es so satt, in der Nähe von Behinderten wie dir zu sein.",HATESPEECH
"Ich habe es so satt, in der Nähe von Juden wie dir zu sein.",RACISM
