Keeks is a bitch she curves everyone ,offensive language
Murda Gang bitch its Gang Land ,offensive language
bad bitches is the only thing that i like ,offensive language
bitch get up off me ,hate speech and offensive language
bitch nigga miss me with it ,offensive language
bitch plz whatever ,offensive language
bitch who do you love ,hate speech and offensive language
bitches get cut off everyday B ,offensive language
broke bitch cant tell me nothing ,offensive language
cancel that bitch like Nino ,offensive language
cant you see these hoes wont change ,offensive language
hoe what its hitting for ,offensive language
i need a trippy bitch who fuck on Hennessy ,offensive language
i spend my money how i want bitch its my business ,offensive language
i txt my old bitch my new bitch pussy wetter ,offensive language
if you aint bout that Murder Game pussy nigga shut up ,offensive language
if you re toes ain t done you pussy stinks ,offensive language
im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that ,offensive language
is that ya bitch ,offensive language
it aint nothing to cut a bitch off ,offensive language
jus meet son now he ya mane ass bitches  #Shots,offensive language
lames crying over hoes thats tears of a clown ,offensive language
like Snoop said in 94 we dont love these hoes ,offensive language
momma said no pussy cats inside my doghouse ,offensive language
pimps up pimps up hoes down  Future voice,offensive language
quick piece of pussy call it a drive by ,offensive language
running round here like some brand new pussy thats bout to get fucked ,offensive language
these bitches even worst they ll send them guys for you ,offensive language
these hoes like niggas that spend money not talk bout it ,hate speech and offensive language
we dont trust these niggas all these bitches ,hate speech and offensive language
yall niggas b cuffing hoes cause yall aint never have bitches ,offensive language
young Pill Chamberlain these bitches love my music ,offensive language
..All I wanna do is get money and fuck model bitches! - Russell Simmons,offensive language
All these bitches want a baby, I don t want no children.,offensive language
Baby I like being on your left side no bitch you can t be there Cuz the street on that side and Twitter said I ain t real if you do,offensive language
Bae sounds like such a ghetto word. Use something else,offensive language
Batter the wee cunt Jewis y cos he fucked my ex? Emma isnt battering the girls I ve nailed?Ive moved on,stop being a pussy n do it urself.,hate speech and offensive language
Boolin  in the bando wit a few bitches,offensive language
But I need a bad bitch that s hotter than me might be the realist shit PartyNextDoor ever said. That s how I be feelin everyday,offensive language
By the way we do punch bitches.,hate speech and offensive language
Do you believe these hoes are not in fact loyal? I disagree with that, I do believe they are in fact the loyalest bunch,these hoes,offensive language
Don t you ever give my pussy away. You keep it tight, alright?,offensive language
Dumb bitches do dumb things,offensive language
Eat the pussy like a real nigga hungry,hate speech and offensive language
Everything look better with a bitch next to it,offensive language
For every bad bitch there is a nigga tired of fucking her,offensive language
Foreign chick, no lie.. Man that bitch Beautiful,offensive language
Fuck 5/0 I make my own rules. Suck my dragon balls bitch call me goku,offensive language
Get me that shit bitch you is fine bear,offensive language
Get your ass back to Detroit ya fuckin  wigger!,hate speech and offensive language
Girls that I dated, its okay I ain t mad yo, unless you stabbed me in the heart, no love hoe,offensive language
HOW DO YOU KNOW MY TWITTER PASSWORD bitch please,offensive language
Have you seen my shows? Have you seen my hoes? If I wasn t hot would they be so thick?,offensive language
Her great grandmas a hoe,her grandmas a hoe,her moms and a hoe, and she s a hoe! It s a long line of hoes! -Grandpa Carl everyone,offensive language
Hey pussy you still there?,offensive language
How hotter than is it? A bitch.,offensive language
How u talking to hoes bout bro n em.. Why you talking to hoes bout bro n em,offensive language
How you doing, crazy bitch? is hilarious!,offensive language
I don t love these hoes, baby It s me and you forever,offensive language
I found a new way to chug you have to open your mouth alot #shitallysays,offensive language
I fucking hate that bitch so much I wanna smack her in the face then tongue kiss her,offensive language
I got a bitch set it off like jada picket..queen latifah you riding round with your nieces bitch you titi,offensive language
I got a sister, she told me stop calling women bitches..,offensive language
I have this lady-love
She s married, but I still wanna bang her
She won t have sex with me
What a bitch ~A troubadour, probably,offensive language
I heard you was looking for Candy Man, bitch,offensive language
I just got a number 3 I m a bitch boy,offensive language
I only be with older men cause they re more mature
That supposed to fool us bitch?,offensive language
I prolly leave up out this bitch with my cups in my hand and yo hand in my other hand.,offensive language
I said i don t like it, it tastes like wolf pussy 
what? How do you even know what that tastes like,offensive language
I woke up like thi- bitch go back to bed,offensive language
I would rather you call me bitch than sir -my manager,offensive language
I ll beat on that pussy so hard,offensive language
I m downloading you a new personality and ordering you a new face! You bitch.. I love you.. Goddamn it! -Axl Rose yelling at his sex robot,offensive language
I m feelin like Malcolm in the middle, these bitches surround me they can t miss em,offensive language
I m probably your main bitch chocolate dipped cinnamon apple,offensive language
IBS irritable bitch syndrome.,offensive language
If you re a bad bitch put your hands up high 
Every girl in the room starts waving there hands around.,hate speech and offensive language
Imma tie that bitch up in the basement and donkey-fuck her ass for two weeks straight hahahahahahahahaha #50centmovie #beforeiselfdestruct,hate speech and offensive language
Is that an albino Mexican?
No dad, he s Asian.,hate speech
It takes a true directioner to accept Larry You know what bitch its fans like you that make the boys cry. #ThankYouPaulForConfirmingLarry,offensive language
Just follow the yellow brick twitter.,neither
Let s do nips ahoy and spank me maybe,offensive language
My twitter was hacked = I m too pussy to admit that I said it and now I want to act like I never said it.,offensive language
Nah girl I ain t gon be able to make it, it s been tight since Russ loss his job you in the back like damn bitch really,offensive language
New Flame the song of the yr lol that bitch SUPER run like,offensive language
No bitches  - nan,offensive language
No boats and hoes please thanks - Mom,offensive language
Only a couple of Red Sox have gotten past first base. I m dying laughing. Maybe the Yanks need to teach them some game.,offensive language
Pistol whip my Dickau, shoot yo bitch club up.
Sometimes freestyles be freestyles. And I m okay with that.,offensive language
Roberto you are one nasty hoe,hate speech and offensive language
Searching the incredible story of 1 white man s quest to find the ingredients necessary to make Caribbean Jerked Chicken in redneck land,offensive language
Selling my soul for material wishes: fast cars and bitches #Tupac #smile #remix,offensive language
She was a bitch anyway,offensive language
Slow the fuck down, bitch, I know where you live!
Classy young lady.,offensive language
Stop being a pussy, son, and shove that needle into your own heart! #afterearth,hate speech and offensive language
Stop looking us and go eat some pussy, you yuppie fucks.,offensive language
That ain t bro moves, that s hoe moves,offensive language
The devil grows inside the hearts of the selfish and wicked
White, brown, yellow and black color is not restricted,neither
The water isn t yellow, I m a healthy student,neither
These hoes ain t loyal,offensive language
These sour apple bitter bitches, I m not fuckin wit em,hate speech and offensive language
This is for my ghetto motherfuckers -Missy Elliott,offensive language
Those ratchet broads don t represent me but YOUR white ass can t talk trash about them  cause you on racist shit Black,hate speech and offensive language
Twitter is twitter bitch twitter is life,offensive language
Uh-uh, what do we have? Your empty heart, my empty bottle, a yellow cab.. That you would like to catch cuz yo latest ex made u mad..,offensive language
Used to have a girlfriend, now all I got is hoes.. I was lookin for a good girl, but she was fuckin on the low.,offensive language
Walked in that bitch like, NIGGA WE MADE IT!,offensive language
We re out here, and we re queer!
2, 4, 6, hut! We like it in our butt!,hate speech and offensive language
Who the fuck you callin jiggaboo, nigga?!,hate speech and offensive language
Why people think gay marriage is okay is beyond me. Sorry I don t want my future son seeing 2 fags walking down the street holding hands an,hate speech
Why u being such a little bitch chris you ain t six bitch - Allisons Mom,hate speech and offensive language
Why would you wanna be the Green Ranger? He s evil! Duh bitch,offensive language
Will shank a bitch for ceviche,offensive language
Wow you are a bitch 
Yes that s already been established, anything else you have to say?,offensive language
Y all forget he has his brand new baby girl at home bitch the cookies are burning,offensive language
Yo can I sublet your pussy #ShitFahdSays,offensive language
You ain t gunna do shit spear chucker,hate speech and offensive language
You ain t my bitch is my favorite response to long texts,offensive language
You and yo boys some pussy cats.,hate speech and offensive language
You are a cunt,offensive language
You can take someone out of the ghetto, but you can t take the ghetto out of them.,offensive language
You look like little birds help you get dressed in the morning,offensive language
You talk like a fag and your shit s retarded. But that s cool scro, lot s of tards out there living total kick-ass lives!,hate speech and offensive language
You re a garden rose, and that bitch is a weed.,offensive language
You re fucked up 
No shit you dumb ass cunt now go post pictures if your flat ass titties on ig slut,offensive language
Your homeboy looking bad and you giving cash to them hoes,offensive language
ain t it time for you hoes to get out of here LOL this is what Ariana s mom says to us,offensive language
ayo i even kill handicapped and crippled bitches/look at my scalp real close and you ll see triple sixes,hate speech and offensive language
bitch freak my shit,offensive language
but I love him nah bitch that ain t love.,offensive language
but pussy is the root of all drama an attribute put up in they head by they mama.,hate speech and offensive language
call me Keyshawn Johnson cause im catchin erry hoe,offensive language
captain save a hoe is the most annoying phrase,offensive language
day of judgement everybody gonna be looking at the big jumbotron watching me fuck this majjinn buu bitch,offensive language
don t let your side bitch settle in, I might have to headbutt you Evelyn,offensive language
fuck you you pussy ass hater go suck a dick and die quick - Someone, to me, in Youtube comments. I think we d be good friends.,hate speech and offensive language
hick and raver is a venn diagram that has a very large intersection,offensive language
if i wasnt in a work place id deck you aye fucking right, I d give you a tyson 4 combo nd end you with an uppercut. Shut the fuck up bitch,offensive language
if she can suck your dick with a dip in, she s not only a keeper but a true redneck woman. - Kim s Dad.,offensive language
im gonna rip that bitch apart
rip what apart
lol,offensive language
niggas bitches bitch ass niggas dike ass hoes black ass and bright ass hoes fag tags and scally wags,hate speech and offensive language
no pussy, or not tryna go to the studio, don t CALL my mufuckin crib like that, god. Yo. Word up god I will BUSS YO SHIT, god, word up,offensive language
oh ya these hoes think they cute in skin tight cat suits assuming that they bodies to boomin to dispute,offensive language
omg this bitch is fucking stupid I swear blah blah blah *a week later* omg ilysm bae ur my best friend I swear,offensive language
on my way to fuck your bitch in the name of The Lord - Mr. Race,hate speech and offensive language
riding with my bros still don t trust these hoes,offensive language
this weekends going to be fabulous naa man, you re seeing nae cunt. If you do they ll be koed in 2 seconds flat. Hate u. #fuckgm,offensive language
whatever you are, be a good one. -Abraham Lincoln, this quote is not for yall hoes!,offensive language
you fucking pussy you couldn t even beat your dick. - Angry Youtube Comment,hate speech and offensive language
# That son of a bitch moment when it rains and you forget your car windows are down,offensive language
#10ThingsThatGetsOnMyNerves Needy hoes, ratchet Hoes, sideline hoes, Beggin  hoes, dumb hoes, looking for love on Facebook hoes..,offensive language
#11 get to hit any bitch on campus he wants to,offensive language
#5WordsAfterSex is that all pussy bitch?,offensive language
#AZmonsoon lot of rain, too bad it wasn t enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding,hate speech
#AnnCoulter still calling #Obama a  community organizer  re: #Syria. Well, she is still #cunt as well. So what?,offensive language
#AskDems Aren t you embarrassed that Charlie Rangel remains in your caucus?,neither
#Bartending becomes a real bitch when you the #bartender are way way taller than the bar was designed for. Holy back pains.,offensive language
#BestSongToHaveSexTo bitches love sosa #bangbang,offensive language
#BigBird was made by a gay couple. So yes, under a GOP world the bird would not have existed since its creators would be in jail for sodomy.,hate speech
#BlessJesus Amos 3:3 - Can two walk together, except they be agreed?,neither
#BlessJesus Amos 5:10 There are those who hate the one who upholds justice in court and detest the one who tells the truth.,neither
#BlessJesus The #Crown of HIS head to the sole of HIS feet,neither
#BlessJesusAir Matthew 6:26 Look at the birds of the air.. and yet your heavenly Father feeds them.Are you not much more valuable than they?,neither
#BlessJesusLove Happy Belated ( Sixty-Fifth) 65 Birthday *28 Aunt Mary Agnes #Strong,neither
#BurnNotice Fi shoots bean bag rounds at the guy - Hurts like a bitch don t they?,hate speech and offensive language
#California is full of white trash,hate speech
#California is full of white trash who moved from #Oklahoma,hate speech and offensive language
#CelebrityLeakedPhotos YEAH&gt; NOW YOU KNOW how it feels knowing the #NSA is on all our phones. Quit whining like #muslim #bitches.,offensive language
#ChristianBale should be KISSING #Moses ass for his fight with God, OTHERWISE WE MIGHT ALL BE FUCKING DEAD&gt; #retarded #ass #actor #faggot,hate speech and offensive language
#CommonQuestionIGet
Why uou so ghetto?,offensive language
#Cowboys are 6-1 bitches #Cowboysnation another great win Ilove this team,offensive language
#Crack that whip, cracker,hate speech and offensive language
#DTLA is trash because of non-Europeans are allowed to live there.,hate speech
