tweet,category
<user> i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani   ,Racism
this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches,Racism
laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate,Racism
and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,Racism
nogs jews and dykes how enriching,Racism
all of my exes were cute but they were hoes i guess i only attract fly looking thots ,sexualContent
<user> condoning drug use not kike at all thanks for that disclosure,Racism
lol what a stupid kike,Racism
why does anyone care what the albino nigger has to say,Racism
that was just a photo look up rhyan moody she was killed on thanksgiving by an illegal spic,Racism
this sounds like a kike national socialist,Racism
i saw a couple baums and steins in the victim list but that about it ya got more info i thought the school was half spic though,Racism
anyway princess sapphire of silverland is a dyke and threw the first brick at stonewall,sexualContent
bitches be so fine and got the nerve to like niggas ,Racism
y is big baby davis a faggot on shameless doe,sexualContent
you stupid motherfucking dick just why dont you over dribble your ass and get the fuck out of the club you fucking faggot <user>,sexualContent
the flag of the maga fags in all it glory it comes with nigger red shoes too,Racism
if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life,Racism
just another dumb nigger,Racism
have you proven your gender yet nice profile pic by the way oh im a nigger too,Racism
they are going to figure out a way to kike bitcoin,Racism
<user> the cunt of a retarded nigger pissed beads of shit into asshole of a jew kike,Racism
ok give us your defense of nigger dogs tell us how they are not all like that lol i bet you are gonna sound just like some mudshark taking up for actual niggers lol,Racism
<user> white people have agency unlike mudslime sandniggers who kill random pedastrians without a voice all that is left is violence we will come for journalists and google executives first they will regret what they have done white rebellion free weev weev did nothing wrong just like hitler,Religious
<user> you first kike,Racism
jew should be hated they are a disease that needs to eradicated from among white folk they and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation,Racism
all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight,Racism
yet another sand nigger slaughters innocents hey libscum i hope your sweet little tender daughters are next you brought this scum here now live with it,Racism
yet when a couple of filthy dykes want you to pander to their sins as you see them you must comply by law time to start organizing for yourselves no one else is gonna do it for you,sexualContent
lol that why i wear them i have had many confrontations with the pos muzzies and black panther scum,Racism
reminds me of a college fundraiser to help a kike family rebuild their burnt house the father was a magistrado which is like a high court judge so they were richer than most of the other students families,Racism
damn dat wetback needs to strap in those moobs,Racism
i tire with you all day same just blah blah blah kike you will see it a dream cheese puff boy go bed it a school night ,Racism
ion hang wit bitches who niggas are insecure,sexualContent
that is the muzrat strategy in every country they infest,Religious
dm to paypal me faggots cash fag paypig cash master cash slave,sexualContent
sorry about the nigger comment but even blacks do not like niggers,Racism
this nigger calling me juicy lips over the phone wtf,Racism
<user> sup faggot suck my two inch cock thru my old navy jeans,sexualContent
i hate fucking niggers,Racism
you all niggers are cancers,Racism
bitches always worrying about me cough cough <user> dumb hoe,sexualContent
man i hate niggers,Racism
hop sing no jew yes but i bet they looked for a jew to play his part then came to conclusion we can not find a jew that will fit the role okay let us get a gook at minimum wage,Racism
this nigger just saved the uk,Racism
then hoes stole my choreo and still managed to make it look bad and lose with it lmfao,sexualContent
microchip has had more nigger cocks in him than a kfc urinal in chicongo on mlk day ,Racism
god bless james earl ray putting down that nigger mlk to save all those white girls from his rapist cock maga,Racism
fucking ulgly ass bitch ass stinky ass bitch ass nigger slave nigger teacher faggot peace of shit suck a dick,Racism
you are next kike,Racism
the muzzies and black churches have always been given a pass this primarily helps conservative churches that have been silent on political issues out of fear of losing their 5 0 1 c3 status,Religious
mudshark and black diversity,Racism
well when i was in the air force they thought i was a dyke plumber bitch so there ya go opinions are like assholes,sexualContent
that his sister sheboon friend melissa is apparently dating some blonde dude,Racism
lol get a load of this kike,Racism
pls call this coon out for the of impoverished blks living on he brink while he and his clowngressional bleak carcass cbc use every avenue to distract from their cowardly performances,Racism
<user> you need potassium eat a banana you fucking nigger,Racism
so none of you all hoes want to get that waist snatched hurd it,sexualContent
honestly man most of you guys are nigger faggots,Racism
ah shit i forgot a sheboon stole an idea from a white person and made god a black woman how completely fulfilling of the stereotype that they can not come up with anything on their own and steal everything,Racism
what a pakis favorite clothing brand jihadidas,Religious
do not worry uk you worked hard cannot afford carehome fees we take your house oh look in london another muzzie family in a nice flat good on you where the tex goes its a shocker,Religious
amber guyer this shot a man in his own place bitch got what she deserved justice for botham jean,sexualContent
a negress too dumb to fuck has a scant chance of understanding anything beyond the size of a dick,Racism
told dat bitch get right or get left,sexualContent
fuck what this kike cunt has to say only thing she is good for is sticking a cock down her throat so she can not talk,Racism
why are we having all these people from shithole countries coming here,Racism
the only rationale i can see for trump not firing prosecuting rosenstein is that now that little kike is in his pocket bad idea,Racism
people are getting pissed about the evil muzrat cult and gov t complicity,Religious
angry bald dyke,sexualContent
if you really want to jack up the gay msm cognitive dissonance we need to see more dindu on homo violence episodes drop leaflets on chicago splaining that gays are fond of carrying fat rolls of cash one day the media queers will all wake up in a log cabin with questions,sexualContent
<user> lets see what they will do to the smelly kike who composed that tweet and whose name is visible in the photo the world awaits his lynching with relish,Racism
i have found another degenerate who is pushing smut on gab not a joke he is actually promoting smut and porn <user> is a degenerate diversity kike hiding behind patriotism i am not so easily fooled,Racism
<user> nice burner account nobody names their kid edwina unless they are georgia trailer trash,Other
like brazil many are descendants of west africa social constructs labels classifications have ruined a many people who falsely self identify as white or just do not even know abt their native land all b c of them bum ass caucazoids aka caucasians,Racism
fuck you all hoes,sexualContent
this is the year you all get r kelly the fidduck out of here sick of that nigger,Racism
i love your pro white jack o lantern fuck that nigger and fuck the national african american communist party founded and run by jews look up it history that not j.p. sedita saying that its ok to be white altright american nationalist,Racism
you niggers blow my mind,Racism
the nigger is a true snake charmer,Racism
i d rather get fisted by a nigger tbh,Racism
twitter is full of tween dykes who think they are superior to everyone because of muh oppression news flash no one gives a shit,sexualContent
i hope the niglets keep going down on their knees its the only realistic depiction of blacks on fake news tv any chance of getting t shirts made that say <user> boycott nfl tebow rule cant pray owners are pleased with their blacks down on their knees,Racism
remember how quiet every other pres has been after they left the use obongo because he is a nigger and they think white guilt will work obey obey you were taught in in schools gov and all media obey,Racism
what the hell is it with shitty gab trolls and calling people monkeys maybe that kike freud was right,Racism
thinks spic is mexican thinks they are right thinks they are smart ,Racism
<user> <user> <user> <user> kick that raghead out of america,Racism
